Symbol,Long_term_slope,Short_term_slope,Avg_price
1229.TW,-0.1068796860544305,0.34999961853027345,35.51250019073486
1264.TWO,-0.2518796992481203,-0.2,210.75
1338.TW,-0.3793232795887424,-0.19000091552734377,88.02499961853027
1527.TW,-0.3406767221321737,0.08999977111816407,57.74500026702881
2722.TW,-0.056578971748065233,0.044999885559082034,29.967500019073487
2881.TW,-0.029774475097656253,0.2599998474121094,50.29000015258789
2882.TW,-0.06451118010327332,0.47000007629394536,51.69000034332275
2915.TW,-0.29796990416103736,0.01999969482421875,59.28499984741211
3675.TWO,-0.04875948339476621,-0.029999923706054688,44.04749984741211
3680.TWO,-0.11184211386773821,-0.01999969482421875,32.75749969482422
3691.TWO,-0.33270676691729323,0.4,131.875
3698.TW,-0.13729324771049328,-0.08000011444091798,19.194999980926514
4429.TWO,-0.11244360558072428,-0.034999847412109375,23.997500038146974
4535.TWO,-0.030714339062683567,0.07500038146972657,37.332500267028806
4557.TW,-0.060676551761483795,0.049999237060546875,66.76500015258789
4741.TWO,-0.1757142776833441,0.3599998474121094,49.15999984741211
4912.TW,-3.604511278195489,-3.45,194.9
4944.TWO,-0.32404345749016095,0.0,19.051934814453126
4956.TW,-0.1409398559340857,0.05000038146972657,19.862499809265138
4991.TWO,-0.049398496814240196,-0.04000015258789063,56.15500011444092
5251.TWO,-0.030075219520052574,-0.005000114440917969,18.650000190734865
6127.TWO,-0.39353385294290416,-0.375,26.624999809265137
6151.TWO,-0.05443608133416427,0.09499988555908204,20.57499990463257
6206.TW,-0.006691667370330123,0.1100006103515625,75.73499984741211
6210.TWO,-0.14894733859184095,-0.12499961853027344,38.04000015258789
6405.TW,-0.15236841718057045,0.10500001907348633,16.707499837875368
6416.TW,-1.3530074843786712,-0.3099990844726563,97.95500030517579
6508.TWO,-0.08056392526268062,-0.04000015258789063,27.392500114440917
6574.TWO,-1.1518797852939233,1.1900001525878907,86.0200008392334
6643.TWO,-0.7652332736137218,-0.33899841308593753,247.18499908447265
8050.TWO,-0.31789473053207973,-0.1700000762939453,42.90500011444092
8435.TWO,-0.06939847272141536,0.029999542236328128,47.94500026702881
8488.TW,-0.002218049988710791,0.010000228881835938,19.937500286102296
^TIWI,-12.641864426691729,26.1400390625,9191.8685546875
