Symbol,Exchange,Long_term_slope,Short_term_slope,Avg_price,Variability,shortwave_relative_power
2342.TW,TAI,0.07105257421507873,0.13499984741210938,31.270000076293947,0.029446071984544544,0.5626477311863336
2882.TW,TAI,0.05218047522064439,-0.08000030517578126,51.73000030517578,0.008643553628678562,0.5964632730834544
3114.TWO,TWO,0.0978194702836804,0.19500007629394533,32.66499996185303,0.01832341820798562,0.5484735965813308
3531.TWO,TWO,0.001766906107278695,-0.05500030517578125,21.00250005722046,0.00963000413803327,0.5967698113984152
4527.TWO,TWO,0.0031203205424143858,-0.05000019073486328,31.672500133514404,0.005298850422409877,0.574373410163363
5301.TWO,TWO,0.03830828272310415,-0.2299999237060547,25.847500038146972,0.021524416542190478,0.5241418724318226
8234.TWO,TWO,0.04875945184463846,-0.020000076293945315,23.99250011444092,0.01179500828450704,0.6143534744120159
8409.TWO,TWO,0.028195471512643917,-0.11499977111816406,16.114999961853027,0.02040914993599136,0.5855351451592178
9921.TW,TAI,0.12593984962406016,-0.45,130.475,0.013930813955314597,0.5919093987537819
9941.TW,TAI,0.07142857142857142,-0.15000000000000002,102.7,0.011939917192692471,0.5373118930813828
